id;position;name;club_id
27;G;Danijel Subasic;3
28;G;Paul Nardi;3
29;G;Seydou Sy;3
30;D;Fabinho;3
31;D;Layvin Kurzawa;3
32;D;Aymen Abdennour;3
33;D;Ricardo Carvalho;3
34;D;Wallace;3
35;D;Elderson Echiejile;3
36;D;Andrea Raggi;3
37;D;Almamy Touré;3
38;D;Raphaël Diarra;3
39;D;Yarouba Cissako;3
40;M;Nabil Dirar;3
41;M;Joao Moutinho;3
42;M;Bernardo Silva;3
43;M;Fares Bahlouli;3
44;M;Tiémoué Bakayoko;3
45;M;Helder Costa;3
46;M;Mario Pasalic;3
47;M;Adama Traoré;3
48;M;Thomas Lemar;3
49;M;Jérémy Toulalan;3
50;M;Abdou Aziz Thiam;3
51;M;Jonathan Mexique;3
52;M;Dominique Pandor;3
53;M;Fawzi Ouaamar;3
54;M;Gabriel Boschilia;3
55;A;Anthony Martial;3
56;A;Guido Carrillo;3
57;A;Ivan Cavaleiro;3
58;A;Lacina Traoré;3
59;A;Stephan El Shaarawy;3
60;A;Edgar Salli;3
61;A;Tafsir Chérif;3
